Recording	Participant	Gender	Group	TOI	Interval	Media	AOI	Number_of_Events.Logged_live_Event	Number_of_Events.Calibration_fix_offset	Number_of_Events.Calibration_offset	Number_of_Events.Calibration_onset	Number_of_Events.Chatting_fix_offset	Number_of_Events.Chatting_offset	Number_of_Events.Chatting_onset	Number_of_Events.Clicking_fix_offset	Number_of_Events.Clicking_offset	Number_of_Events.Clicking_onset	Number_of_Events.Drawing_fix_offset	Number_of_Events.Drawing_offset	Number_of_Events.Drawing_onset	Number_of_Events.Drumming_fix_offset	Number_of_Events.Drumming_offset	Number_of_Events.Drumming_onset	Number_of_Events.Head_fix_offset	Number_of_Events.Head_offset	Number_of_Events.Head_onset	Number_of_Events.Heckling_fix_offset	Number_of_Events.Heckling_offset	Number_of_Events.Heckling_onset	Number_of_Events.Lesson_end	Number_of_Events.Lesson_start	Number_of_Events.Phone_fix_offset	Number_of_Events.Phone_offset	Number_of_Events.Phone_onset	Number_of_Events.Reaction_chatting	Number_of_Events.Reaction_clicking	Number_of_Events.Reaction_drawing	Number_of_Events.Reaction_drumming	Number_of_Events.Reaction_head	Number_of_Events.Reaction_heckling	Number_of_Events.Reaction_phone	Number_of_Events.Reaction_snipping	Number_of_Events.Reaction_whispering	Number_of_Events.Snipping_fix_offset	Number_of_Events.Snipping_offset	Number_of_Events.Snipping_onset	Number_of_Events.Whispering_fix_offset	Number_of_Events.Whispering_offset	Number_of_Events.Whispering_onset	Time_to_first_Event.Logged_live_Event	Time_to_first_Event.Calibration_fix_offset	Time_to_first_Event.Calibration_offset	Time_to_first_Event.Calibration_onset	Time_to_first_Event.Chatting_fix_offset	Time_to_first_Event.Chatting_offset	Time_to_first_Event.Chatting_onset	Time_to_first_Event.Clicking_fix_offset	Time_to_first_Event.Clicking_offset	Time_to_first_Event.Clicking_onset	Time_to_first_Event.Drawing_fix_offset	Time_to_first_Event.Drawing_offset	Time_to_first_Event.Drawing_onset	Time_to_first_Event.Drumming_fix_offset	Time_to_first_Event.Drumming_offset	Time_to_first_Event.Drumming_onset	Time_to_first_Event.Head_fix_offset	Time_to_first_Event.Head_offset	Time_to_first_Event.Head_onset	Time_to_first_Event.Heckling_fix_offset	Time_to_first_Event.Heckling_offset	Time_to_first_Event.Heckling_onset	Time_to_first_Event.Lesson_end	Time_to_first_Event.Lesson_start	Time_to_first_Event.Phone_fix_offset	Time_to_first_Event.Phone_offset	Time_to_first_Event.Phone_onset	Time_to_first_Event.Reaction_chatting	Time_to_first_Event.Reaction_clicking	Time_to_first_Event.Reaction_drawing	Time_to_first_Event.Reaction_drumming	Time_to_first_Event.Reaction_head	Time_to_first_Event.Reaction_heckling	Time_to_first_Event.Reaction_phone	Time_to_first_Event.Reaction_snipping	Time_to_first_Event.Reaction_whispering	Time_to_first_Event.Snipping_fix_offset	Time_to_first_Event.Snipping_offset	Time_to_first_Event.Snipping_onset	Time_to_first_Event.Whispering_fix_offset	Time_to_first_Event.Whispering_offset	Time_to_first_Event.Whispering_onset	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Calibration_phase_fix	1	fullstream	Anna	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			23916	0																																							0				0			Bianca		0				0			0				0			38	38	38	38	1	29962	38	0				
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Calibration_phase_fix	1	fullstream	Bianca	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			23916	0																																							600	200	140	320	3	28283	140	Bianca		0				0			680	340	320	360	2	28283	360	760	380	380	380	2	28263	380	0	28263	28643	384,67	270,65
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Calibration_phase_fix	1	fullstream	Carl(a)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			23916	0																																							700	175	80	400	4	28683	140	Bianca		0				0			760	760	760	760	1	28683	760	800	800	800	800	1	28643	800	2	28643	29443	270,65	392,2
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Anna	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															1879	1879	1879	1879	1	3447	1879	Carl(a)	Carl(a)	0				0			1879	1879	1879	1879	1	3447	1879	1979	1979	1979	1979	1	3347	1979	0				
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Bianca	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															0				0			Carl(a)	Carl(a)	0				0			0				0			0				0			0				
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Carl(a)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															3600	900	100	1879	4	9	100	Carl(a)	Carl(a)	0				0			3620	1207	100	1879	3	9	100	3669	1223	109	1919	3	0	109	1		109		295,02
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Disruptive_Person	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															2159	720	100	1879	3	9	100	Carl(a)	Carl(a)	0				0			2159	720	100	1879	3	9	100	2208	736	109	1919	3	0	109	0		109		295,02
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Nametag_Bianca	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															120	120	120	120	1	2927	120	Carl(a)	Carl(a)	0				0			120	120	120	120	1	2927	120	180	180	180	180	1	2867	180	0	2867	3047	296,3	236,71
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Nametag_Carl(a)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															580	290	280	300	2	169	300	Carl(a)	Carl(a)	0				0			580	290	280	300	2	169	300	700	350	340	360	2	109	360	0	109	2867	295,02	296,3
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour	1	fullstream	Teacher_material	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0																					3312															220	220	220	220	1	3087	220	Carl(a)	Carl(a)	0				0			220	220	220	220	1	3087	220	260	260	260	260	1	3047	260	0	3047		236,71	
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour_fix	1	fullstream	Anna	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0						7107	0																					3312															22116	1474	80	5286	15	3447	1879	Anna	Anna	0				0			23195	11598	1879	21317	2	3447	1879	23335	11668	1979	21357	2	3347	1979	1				
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour_fix	1	fullstream	Bianca	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0						7107	0																					3312															0				0			Anna	Anna	0				0			0				0			0				0			0				
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour_fix	1	fullstream	Carl(a)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0						7107	0																					3312															4677	935	100	2299	5	9	100	Anna	Anna	0				0			4857	1619	100	2878	3	9	100	4906	1635	109	2878	3	0	109	1		109		295,02
Recording049_EH_RD	ProVisioNET_pilot_04_04_novice	Female	Novice	Chatting_with_neighbour_fix	1	fullstream	Disruptive_Person	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0						7107	0																					3312															2159	720	100	1879	3	9	100	Anna	Anna	0				0			2159	720	100	1879	3	9	100	2208	736	109	1919	3	0	109	0		109		295,02
